,idea,title_a,title_b,title_b_preferred,prompt,chosen,rejected
374,How to handle missing data,5 Clever Ways to Fill Missing Data (Explained),The Ultimate Guide to Dealing with Missing Data,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: how to handle missing data\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'The Ultimate Guide to Dealing with Missing Data'}]","[{'role': 'assistant', 'content': '5 Clever Ways to Fill Missing Data (Explained)'}]"
375,Fine-tuning multimodal embedding models,The Ultimate Guide to Fine-Tuning Multimodal Models,Boost Your Multimodal Models with These Techniques,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: fine-tuning multimodal embedding models\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'The Ultimate Guide to Fine-Tuning Multimodal Models'}]","[{'role': 'assistant', 'content': 'Boost Your Multimodal Models with These Techniques'}]"
376,causal inference,Understand Causal Inference in 5 Minutes,Master Causal Inference for Data Science,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: causal inference\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Understand Causal Inference in 5 Minutes'}]","[{'role': 'assistant', 'content': 'Master Causal Inference for Data Science'}]"
377,Fine-tuning FLUX.1 on images of me,How I Fine-Tuned FLUX.1 for My Images,FLUX.1 Fine-Tuning Tips: From Zero to Hero,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: fine-tuning flux.1 on images of me\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'How I Fine-Tuned FLUX.1 for My Images'}]","[{'role': 'assistant', 'content': 'FLUX.1 Fine-Tuning Tips: From Zero to Hero'}]"
378,Evaluating binary classification models,5 Key Metrics for Binary Classification Models,Spotting Model Weaknesses: Binary Classification Edition,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: evaluating binary classification models\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': '5 Key Metrics for Binary Classification Models'}]","[{'role': 'assistant', 'content': 'Spotting Model Weaknesses: Binary Classification Edition'}]"
379,Fine-tuning LLMs with QLoRA,QLoRA: The New Kid on the Fine-Tuning Block,QLoRA for LLMs: What You Need to Know,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: fine-tuning llms with qlora\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'QLoRA for LLMs: What You Need to Know'}]","[{'role': 'assistant', 'content': 'QLoRA: The New Kid on the Fine-Tuning Block'}]"
380,causal effects with regression,Understanding Causal Effects with Regression,Regression Analysis for Causal Effects,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: causal effects with regression\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Regression Analysis for Causal Effects'}]","[{'role': 'assistant', 'content': 'Understanding Causal Effects with Regression'}]"
381,5 AI automation use cases,5 AI Automation Hacks to Boost Productivity,AI Takes Over: 5 Automation Success Stories,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: 5 ai automation use cases\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': '5 AI Automation Hacks to Boost Productivity'}]","[{'role': 'assistant', 'content': 'AI Takes Over: 5 Automation Success Stories'}]"
382,5 AI automation use cases,5 AI Automation Hacks to Boost Productivity,Streamline Your Work with These 5 AI Automations,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: 5 ai automation use cases\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Streamline Your Work with These 5 AI Automations'}]","[{'role': 'assistant', 'content': '5 AI Automation Hacks to Boost Productivity'}]"
383,the Mapper algorithm,How the Mapper Algorithm Simplifies Complex Data,Unleash the Power of Mapper Algorithm for Better Insights,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: the mapper algorithm\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'How the Mapper Algorithm Simplifies Complex Data'}]","[{'role': 'assistant', 'content': 'Unleash the Power of Mapper Algorithm for Better Insights'}]"
384,Full-stack data science skillset,Build a Full-Stack Data Scientist Skillset,How to Become a Full-Stack Data Scientist in 2024,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: full-stack data science skillset\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'How to Become a Full-Stack Data Scientist in 2024'}]","[{'role': 'assistant', 'content': 'Build a Full-Stack Data Scientist Skillset'}]"
385,Gaussian process regression,Master Gaussian Processes in Minutes,Gaussian Processes for Predictive Modeling,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: gaussian process regression\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Gaussian Processes for Predictive Modeling'}]","[{'role': 'assistant', 'content': 'Master Gaussian Processes in Minutes'}]"
386,Intro independent component analysis,5 Key Concepts in Independent Component Analysis,Independent Component Analysis: What It Is and Why It Matters,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: intro independent component analysis\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Independent Component Analysis: What It Is and Why It Matters'}]","[{'role': 'assistant', 'content': '5 Key Concepts in Independent Component Analysis'}]"
387,Gradient descent,Master Gradient Descent: A Beginner's Guide,Gradient Descent Intuition & Math Simplified,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: gradient descent\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Gradient Descent Intuition & Math Simplified'}]","[{'role': 'assistant', 'content': ""Master Gradient Descent: A Beginner's Guide""}]"
388,Habituation in causal inference,Unveiling Habituation: A Key to Causal Inference,Mastering Habituation for Better Causal Inference,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: habituation in causal inference\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Mastering Habituation for Better Causal Inference'}]","[{'role': 'assistant', 'content': 'Unveiling Habituation: A Key to Causal Inference'}]"
389,decision trees,Decision Trees 101: The Ultimate Guide,Decision Trees vs Other Models: Which to Choose?,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: decision trees\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Decision Trees 101: The Ultimate Guide'}]","[{'role': 'assistant', 'content': 'Decision Trees vs Other Models: Which to Choose?'}]"
390,Fine-tuning LLMs on human feedback,5 Steps to Fine-Tune LLMs Like a Pro,The Secret to Better LLMs: Fine-Tuning Tips,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: fine-tuning llms on human feedback\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'The Secret to Better LLMs: Fine-Tuning Tips'}]","[{'role': 'assistant', 'content': '5 Steps to Fine-Tune LLMs Like a Pro'}]"
391,Power law scaling on Youtube,5 Secrets to Scaling Your YouTube Channel Fast,Power Law Scaling: The Key to YouTube Success,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: power law scaling on youtube\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Power Law Scaling: The Key to YouTube Success'}]","[{'role': 'assistant', 'content': '5 Secrets to Scaling Your YouTube Channel Fast'}]"
392,Gaussian process regression,Gaussian Process Regression Simplified,Introduction to Gaussian Process Regression,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: gaussian process regression\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Introduction to Gaussian Process Regression'}]","[{'role': 'assistant', 'content': 'Gaussian Process Regression Simplified'}]"
393,Building a resume optimizer with AI,Build a Resume Optimizer with AI: Code Walkthrough,Step-by-Step: Build Your Own Resume Optimizer with AI,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: building a resume optimizer with ai\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Build a Resume Optimizer with AI: Code Walkthrough'}]","[{'role': 'assistant', 'content': 'Step-by-Step: Build Your Own Resume Optimizer with AI'}]"
394,wavelet transform,Introduction to Wavelet Transform: The Power Behind Signal Processing,How Wavelet Transform Can Revolutionize Your Data Analysis,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: wavelet transform\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Introduction to Wavelet Transform: The Power Behind Signal Processing'}]","[{'role': 'assistant', 'content': 'How Wavelet Transform Can Revolutionize Your Data Analysis'}]"
395,Practical use case with decision trees,5 Key Steps to Build a Decision Tree Model,Decision Trees for Beginners: A Practical Use Case,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: practical use case with decision trees\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Decision Trees for Beginners: A Practical Use Case'}]","[{'role': 'assistant', 'content': '5 Key Steps to Build a Decision Tree Model'}]"
396,stable diffusion models,Stable Diffusion Models: Revolutionizing Image Generation,Understanding Stable Diffusion Models for Beginners,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: stable diffusion models\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Understanding Stable Diffusion Models for Beginners'}]","[{'role': 'assistant', 'content': 'Stable Diffusion Models: Revolutionizing Image Generation'}]"
397,fat tailed distribtions,The Surprising Truth About Fat-Tailed Risks,Beyond Normal: Exploring Fat-Tailed Distributions,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: fat tailed distribtions\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Beyond Normal: Exploring Fat-Tailed Distributions'}]","[{'role': 'assistant', 'content': 'The Surprising Truth About Fat-Tailed Risks'}]"
